Code,Source,Name,Description,Version
B05,ICD 10 - WHO,Measles,,
A36,ICD 10 - WHO,Diptheria,,
A37,ICD 10 - WHO,Whooping Cough,,
A33,ICD 10 - WHO,Neonatal Tetanus,,
A35,ICD 10 - WHO,Tetanus,,
A16,ICD 10 - WHO,Tuberculosis,,
G83,ICD 10 - WHO,Acute Flaccid Paralysis (AFP),,
B06,ICD 10 - WHO,Rubella,,
B26,ICD 10 - WHO,Mumps,,
B01,ICD 10 - WHO,Chicken Pox,,
B16,ICD 10 - WHO,Hepatitis B,,
A86,ICD 10 - WHO,Acute Encephalitis like Syndrome (AES),,
B74.9,ICD 10 - WHO,Filariasis,,
B54,ICD 10 - WHO,Clinical Malaria,,
B50.9,ICD 10 - WHO,Malaria (Plasmodium Falciparum),,
B51.9,ICD 10 - WHO,Malaria (Plasmodium Vivax),,
A90,ICD 10 - WHO,Dengue Fever,,
B55.9,ICD 10 - WHO,Kala‐azar/Leshmaniasis,,
A01.0,ICD 10 - WHO,Typhoid (Enteric Fever),,
A09,ICD 10 - WHO,Acute Gastro‐Enteritis (AGE),,
A06.9,ICD 10 - WHO,Ameobic Dysentery/Amoebiasis,,
A03.9,ICD 10 - WHO,Bacillary Dysentery/Shigellosis,,
K52.9,ICD 10 - WHO,Presumed Non‐Infectious Diarrhoea,,
A00.9,ICD 10 - WHO,Cholera,,
B82.9,ICD 10 - WHO,Intestinal Worms,,
R17,ICD 10 - WHO,Jaundice,,
B15.9,ICD 10 - WHO,Hepatitis A,,
B17.2,ICD 10 - WHO,Hepatitis E,,
E86,ICD 10 - WHO,Volume Depletion (Dehydration),,
A30.9,ICD 10 - WHO,Leprosy,,
G03.9,ICD 10 - WHO,Meningitis,,
B20,ICD 10 - WHO,HIV Infection,,
A54.0,ICD 10 - WHO,Urethral Discharge Syndrome (UDS),,
N49.9,ICD 10 - WHO,Scrotal Swelling Syndrome (SSS),,
N89.8,ICD 10 - WHO,Vaginal Discharge Syndrome (VDS),,
N74,ICD 10 - WHO,Lower Abdominal Pain Syndrome (LAPS),,
A54.3,ICD 10 - WHO,Neonatal Conjuctive Syndrome (NCS),,
N76.6,ICD 10 - WHO,Genital User Disease Syndrome (GUDS) ‐ female,,
N50.8,ICD 10 - WHO,Genital User Disease Syndrome (GUDS) ‐ male,,
A55,ICD 10 - WHO,Inguinal Bubo Syndrome (IBS),,
A51,ICD 10 - WHO,Syphilis,,
J22,ICD 10 - WHO,ARI/Lower Respiratory Tract Infection (LRTI),,
J06.9,ICD 10 - WHO,Upper Respiratory Tract Infection (URTI),,
J18.9,ICD 10 - WHO,Pneumonia,,
J15,ICD 10 - WHO,Severe Pneumonia,,
J40,ICD 10 - WHO,Bronchitis (Acute & chronic),,
N39.9,ICD 10 - WHO,Urinary Tract Infection (UTI),,
